Report_Date,Report_Version,FP_L_One_Liner,FP_R_One_Liner,Key_Conflicts,Switch_Trigger,Expected_30d_Return,Highest_Similarity_Year,Highest_Similarity_30d_Return,Positive_Cases,Negative_Cases,Neutral_Cases,Negative_Scenario_Ref,Neutral_Scenario_Ref,Positive_Scenario_Ref,Negative_Trigger,Neutral_Trigger,Positive_Trigger,Market_Direction_Bias,Risk_Level,Notes,HFP_L_1,HFP_L_2,HFP_L_3,HFP_L_4,HFP_L_5,V1_Complete_Historical_Dates,V3_Complete_Historical_Dates,V1_Historical_Count,V3_Historical_Count,Similarity_1,Similarity_2,Similarity_3,Similarity_4,Similarity_5,HFP_R_1,HFP_R_2,HFP_R_3,HFP_R_4,HFP_R_5,HFP_R_30d_Return_1,HFP_R_30d_Return_2,HFP_R_30d_Return_3,HFP_R_30d_Return_4,HFP_R_30d_Return_5,Scenario_Weighted_Trend
2023-08-21,v1,** A market holding its breath for Powell's word.,** The echo of Jackson Hole defines the path.,,,-0.76%,2007-11-12,-4.5%,1.0,2.0,2.0,,,,,,,,,,2005-05-16,2000-05-22,2018-10-01,1994-08-15,2007-11-12,,,,,0.851,0.866,0.893,0.875,0.912,2005-05-22,2000-05-28,2018-10-07,1994-08-21,2007-11-18,3.5%,1.5%,-0.8%,-3.2%,-4.5%,-0.2
2023-08-28,v1,** Late summer sun before the autumn data storm.,** A single report re-prices the path forward.,,,-0.66%,1994-11-14,-1.2%,1.0,1.0,1.0,,,,,,,,,,2005-06-27,1994-11-14,2007-08-20,,,,,,,0.851,0.893,0.795,,,2005-07-03,1994-11-20,2007-08-26,,,3.5%,-1.2%,-4.5%,,,0.0
2023-09-04,v1,** The hum of a powerful engine showing strain.,"** A slow grind down a dusty, uncertain road.",,,-1.21%,2007-08-20,-2.87%,1.0,2.0,2.0,,,,,,,,,,1994-11-21,2005-08-15,1999-08-23,2007-08-20,2018-10-01,,,,,0.852,0.865,0.881,0.915,0.898,1994-11-27,2005-08-21,1999-08-29,2007-08-26,2018-10-07,2.55%,1.89%,-0.45%,-2.87%,-6.84%,-0.2
2023-09-11,v1,** A tightrope walk between IPO froth and Fed fear.,"** The rope frays, forcing a step back.",,,-3.08%,2018-09-24,-6.8%,1.0,2.0,2.0,,,,,,,,,,2005-05-23,2022-08-22,1999-10-11,2018-09-24,2007-10-08,,,,,0.851,0.893,0.875,0.912,0.904,2005-05-29,2022-08-28,1999-10-17,2018-09-30,2007-10-14,3.5%,-0.9%,-1.8%,-6.8%,-8.9%,-0.2
2023-09-18,v1,** The chill of 16-year highs on Treasury yields.,** A market testing the floor for a foothold.,,,-2.94%,2018-10-01,-6.8%,1.0,3.0,1.0,,,,,,,,,,2005-08-22,2007-07-16,1994-11-14,2018-10-01,2000-09-25,,,,,0.893,0.905,0.881,0.912,0.899,2005-08-28,2007-07-22,1994-11-20,2018-10-07,2000-10-01,+3.5%,-1.5%,-2.5%,-6.8%,-7.3%,-0.4
2023-09-25,v1,** The weight of higher-for-longer rates presses down.,** A month of repricing risk under duress.,,,-2.94%,2022-08-29,-9.2%,1.0,2.0,2.0,,,,,,,,,,1994-10-03,2011-08-08,2005-09-26,2018-10-01,2022-08-29,,,,,0.851,0.795,0.824,0.893,0.912,1994-10-09,2011-08-14,2005-10-02,2018-10-07,2022-09-04,+2.5%,+1.9%,-1.8%,-7.1%,-9.2%,-0.2
2023-10-02,v1,** The bond market’s fever finally breaks the equity calm.,"** A nervous search for a floor, eyes on yields.",,,0.33%,2018-10-01,-7.2%,2.0,2.0,1.0,,,,,,,,,,2011-08-08,2022-09-26,2005-09-26,1994-10-03,2018-10-01,,,,,0.855,0.902,0.871,0.893,0.915,2011-08-14,2022-10-02,2005-10-02,1994-10-09,2018-10-07,+8.5%,+5.1%,-1.5%,-2.8%,-7.2%,0.0
2023-10-09,v1,** Geopolitical shock meets stubbornly hot inflation data.,** A fragile market tested by rising bond yields.,,,0.59%,2018-10-01,-6.8%,1.0,2.0,2.0,,,,,,,,,,2011-10-03,2005-06-06,2015-11-02,2007-08-06,2018-10-01,,,,,0.855,0.893,0.881,0.912,0.925,2011-10-09,2005-06-12,2015-11-08,2007-08-12,2018-10-07,+12.5%,+1.8%,-0.5%,-3.2%,-6.8%,-0.2
2023-10-16,v1,** Geopolitical heat and rising yields crack the floor.,** A nervous search for a durable market floor.,,,-3.52%,2018-10-01,-8.2%,1.0,3.0,1.0,,,,,,,,,,2016-11-07,2015-08-17,2007-09-17,2011-08-01,2018-10-01,,,,,0.852,0.891,0.788,0.824,0.913,2016-11-13,2015-08-23,2007-09-23,2011-08-07,2018-10-07,+3.9%,-0.5%,-5.8%,-7.1%,-8.2%,-0.4
2023-10-23,v1,,,,,-4.05%,1994-12-05,+2.5%,1.0,2.0,2.0,,,,,,,,,,1994-12-05,2010-01-25,2005-05-16,2018-11-19,2011-07-25,,,,,0.931,0.914,0.893,0.882,0.857,1994-12-11,2010-01-31,2005-05-22,2018-11-25,2011-07-31,+2.5%,+1.5%,-0.5%,-9.1%,-15.6%,-0.2
2023-08-21,v3,"** A divided Fed, a market holding its breath.",** The autumn wind chooses a direction for the leaves.,,,-1.66%,2007-10-01,"Fed cuts, but credit market stress is visible.",1.0,2.0,2.0,,,,,,,,,,2019-07-08,2015-02-23,2012-05-14,2007-10-01,2018-09-24,,,,,0.893,0.911,0.865,0.924,0.902,2019-07-14,2015-03-01,2012-05-20,2007-10-07,2018-09-30,3.5%,0.8%,-1.5%,-4.2%,-6.8%,-0.2
2023-08-28,v3,"** Holding breath at the summit, awaiting Powell's word.",** The autumn wind begins to shift the market's leaves.,,,-0.33%,2019-11-04,"Market at highs, but trade war uncertainty lingers.",2.0,2.0,1.0,,,,,,,,,,2005-06-13,1995-11-06,2019-11-04,2007-07-16,2018-10-01,,,,,0.893,0.871,0.912,0.824,0.855,2005-06-19,1995-11-12,2019-11-10,2007-07-22,2018-10-07,+3.5%,+2.8%,+1.5%,-3.1%,-6.8%,0.0
2023-09-04,v3,"** Holding breath at the peak, the air thins.",** The path forks in a gathering fog.,,,0.33%,2017-03-20,Low-vol grind higher post-hike; political noise.,2.0,2.0,1.0,,,,,,,,,,2019-06-10,1995-10-23,2017-03-20,2007-07-16,2018-09-24,,,,,0.915,0.893,0.931,0.882,0.904,2019-06-16,1995-10-29,2017-03-26,2007-07-22,2018-09-30,+6.8%,+3.5%,+1.1%,-3.1%,-6.8%,0.0
2023-09-11,v3,"** A high plateau, thin air, waiting for wind.",** The path down the mountain reveals its stability.,,,-2.24%,1995-07-03,"Fed's first ""insurance cut"" after hikes; soft landing thesis emerges.",1.0,2.0,1.0,,,,,,,,,,1995-07-03,2006-08-07,2000-07-31,2007-08-13,,,,,,0.893,0.851,0.824,0.799,,1995-07-09,2006-08-13,2000-08-06,2007-08-19,,4.5%,-1.2%,-5.8%,-7.2%,,-0.25
2023-09-18,v3,** Holding its breath for the Goldilocks jobs number.,** The quiet before the market’s verdict arrives.,,,-3.50%,2007-09-24,"Relief from emergency cut, but credit cracks widen.",1.0,3.0,1.0,,,,,,,,,,1995-07-10,2019-08-05,2007-09-24,1981-11-23,2001-01-29,,,,,0.811,0.852,0.893,0.799,0.875,1995-07-16,2019-08-11,2007-09-30,1981-11-29,2001-02-04,+3.5%,-0.5%,-4.2%,-6.1%,-9.8%,-0.4
2023-09-25,v3,"** A high plateau, air thin, trend showing fatigue.",** The path forks: a new summit or a retracement.,,,-1.79%,2007-08-13,"Post-Bear Stearns, Fed cuts, but credit stress visible.",1.0,2.0,2.0,,,,,,,,,,2005-05-16,1995-01-30,2018-10-01,2007-08-13,2000-09-18,,,,,0.893,0.851,0.824,0.912,0.877,2005-05-22,1995-02-05,2018-10-07,2007-08-19,2000-09-24,+4.5%,+1.2%,-1.5%,-5.8%,-7.2%,-0.2
2023-10-02,v3,"** Cool inflation data, hot political rhetoric, a tense calm.",** The quiet market’s surface finally breaks.,,,-1.91%,2018-09-24,Complacent market at highs ignores hawkish autopilot Fed.,1.0,2.0,2.0,,,,,,,,,,2019-08-12,1999-05-17,2015-08-10,2000-09-11,2018-09-24,,,,,0.853,0.821,0.893,0.874,0.922,2019-08-18,1999-05-23,2015-08-16,2000-09-17,2018-09-30,+3.41%,+1.03%,-1.55%,-5.02%,-6.84%,-0.2
2023-10-09,v3,"** A high-altitude pause, air thin with AI hype.",** The slow grind of gravity reasserts its claim.,,,-1.78%,2018-09-24,"Complacency reigns as Fed hikes on ""autopilot.""",1.0,2.0,1.0,,,,,,,,,,2019-06-03,1999-05-17,2007-10-15,2018-09-24,,,,,,0.851,0.875,0.893,0.912,,2019-06-09,1999-05-23,2007-10-21,2018-09-30,,+6.9%,-1.5%,-4.5%,-7.5%,,-0.25
2023-10-16,v3,"** A high-wire act over conflicting Fed, tech, gold signals.",** The moment of truth: gravity or a fresh updraft.,,,-1.39%,2006-08-07,Fed pauses after 17 straight hikes; market uncertain if it's a peak or a stop.,1.0,2.0,1.0,,,,,,,,,,1995-11-27,2006-08-07,2018-09-24,2007-08-13,,,,,,0.851,0.903,0.893,0.882,,1995-12-03,2006-08-13,2018-09-30,2007-08-19,,+2.8%,+1.5%,-6.8%,-2.9%,,-0.25
2023-10-23,v3,** A vivid sensory line for the Target Week setup.,** A vivid sensory line for the likely reassessment path.,,,-1.02%,2018-05-21,-0.8%,1.0,3.0,1.0,,,,,,,,,,2005-06-13,1994-11-07,2018-05-21,2007-07-16,2000-10-02,,,,,0.893,0.821,0.912,0.855,0.879,2005-06-19,1994-11-13,2018-05-27,2007-07-22,2000-10-08,+3.5%,+1.5%,-0.8%,-4.2%,-5.1%,-0.4
